estrutura-linguagem tempo tamanho_da_entrada
linkedlist-java 30800 54366
linkedlist-java 42500 74778
linkedlist-java 42600 75442
linkedlist-java 20700 36609
linkedlist-java 7400 13084
linkedlist-java 23900 42238
linkedlist-java 30800 54288
linkedlist-java 38400 67879
linkedlist-java 25000 44103
linkedlist-java 44000 77836
linkedlist-java 24900 44136
linkedlist-java 20700 36278
linkedlist-java 11500 20456
linkedlist-java 40400 70742
linkedlist-java 31700 55710
linkedlist-java 52600 92421
linkedlist-java 37000 65576
linkedlist-java 54200 95216
linkedlist-java 6400 11341
linkedlist-java 30900 54732
linkedlist-java 27700 48115
linkedlist-java 11100 19622
linkedlist-java 35200 61994
linkedlist-java 44200 77870
linkedlist-java 42800 75461
linkedlist-java 39700 69771
linkedlist-java 48400 85300
linkedlist-java 28600 50361
linkedlist-java 11800 20866
linkedlist-java 35100 61822
linkedlist-java 35000 62019
linkedlist-java 21300 37384
linkedlist-java 52100 89582
linkedlist-java 9900 17423
linkedlist-java 11300 19912
linkedlist-java 44700 78440
linkedlist-java 45100 79377
linkedlist-java 46200 81361
linkedlist-java 29500 52248
linkedlist-java 7000 12343
linkedlist-java 20700 36577
linkedlist-java 43600 77012
linkedlist-java 28400 50361
linkedlist-java 16300 28744
linkedlist-java 33600 59532
linkedlist-java 39300 69387
linkedlist-java 28400 50347
linkedlist-java 43100 73536
linkedlist-java 31600 55895
linkedlist-java 40700 71869
linkedlist-java 18400 32300
linkedlist-java 14400 25440
linkedlist-java 46400 81443
linkedlist-java 8800 15538
linkedlist-java 26300 46383
linkedlist-java 14000 24856
linkedlist-java 21600 38113
linkedlist-java 7400 12496
linkedlist-java 11900 21017
linkedlist-java 584700 820426
linkedlist-java 430800 524751
linkedlist-java 450900 604494
linkedlist-java 501300 660035
linkedlist-java 648500 930846
linkedlist-java 173700 275955
linkedlist-java 219400 335895
linkedlist-java 641300 917487
linkedlist-java 435700 585163
linkedlist-java 644900 917924
linkedlist-java 438100 595517
linkedlist-java 527300 739052
linkedlist-java 269800 378602
linkedlist-java 486600 694366
linkedlist-java 422100 566787
linkedlist-java 625800 901506
linkedlist-java 692300 989871
linkedlist-java 381900 456126
linkedlist-java 525400 747268
linkedlist-java 647200 936488
linkedlist-java 610500 855358
linkedlist-java 234100 346488
linkedlist-java 447700 604051
linkedlist-java 504900 676553
linkedlist-java 577900 788325
linkedlist-java 349200 480267
linkedlist-java 685800 893866
linkedlist-java 628900 910471
linkedlist-java 375800 496259
linkedlist-java 178100 268465
linkedlist-java 551700 758907
linkedlist-java 216900 249156
linkedlist-java 667000 944914
linkedlist-java 525600 699117
linkedlist-java 550600 774569
linkedlist-java 787800 985952
linkedlist-java 152100 214658
linkedlist-java 113700 171422
linkedlist-java 711000 947625
linkedlist-java 691800 990776
linkedlist-java 462600 640506
linkedlist-java 564000 805940
linkedlist-java 491700 708779
linkedlist-java 169800 262650
linkedlist-java 510900 718983
linkedlist-java 312700 421934
linkedlist-java 479200 689032
linkedlist-java 154800 256684
linkedlist-java 89500 151089
linkedlist-java 576100 828397
linkedlist-java 404500 511835
linkedlist-java 202200 315092
linkedlist-java 636700 916739
linkedlist-java 78000 127133
linkedlist-java 87300 149495
linkedlist-java 91900 156021
linkedlist-java 415900 548956
linkedlist-java 85100 146181
linkedlist-java 247400 371287
linkedlist-java 145500 245022
linkedlist-java 613700 874371
linkedlist-java 326700 431188
linkedlist-java 82500 142418
linkedlist-java 141900 237745
linkedlist-java 579000 830336
linkedlist-java 81100 140771
linkedlist-java 686700 988572
linkedlist-java 59100 103184
linkedlist-java 173700 275417
linkedlist-java 550900 789484
linkedlist-java 456900 645331
linkedlist-java 164400 268453
linkedlist-java 451500 607612
linkedlist-java 63600 111230
linkedlist-java 299000 326658
linkedlist-java 535400 774050
linkedlist-java 275900 367861
linkedlist-java 399200 550721
linkedlist-java 434200 580585
linkedlist-java 494000 667376
linkedlist-java 364300 493054
linkedlist-java 111700 189553
linkedlist-java 97900 168972
linkedlist-java 425300 570768
linkedlist-java 319200 428948
linkedlist-java 578700 819911
linkedlist-java 430100 578872
linkedlist-java 237800 350209
linkedlist-java 178600 274330
linkedlist-java 307600 416089
linkedlist-java 79500 138121
linkedlist-java 472900 637389
linkedlist-java 458300 637082
linkedlist-java 109300 186727
linkedlist-java 318700 429898
linkedlist-java 78900 134252
linkedlist-java 502800 665381
linkedlist-java 119000 201486
linkedlist-java 564200 799306
linkedlist-java 637200 908489
linkedlist-python 4000 553
linkedlist-python 7400 922
linkedlist-python 4500 597
linkedlist-python 7400 915
linkedlist-python 2400 315
linkedlist-python 3400 483
linkedlist-python 3000 409
linkedlist-python 3000 412
linkedlist-python 1600 185
linkedlist-python 1100 113
linkedlist-python 7300 882
linkedlist-python 900 85
linkedlist-python 2500 335
linkedlist-python 1500 166
linkedlist-python 5900 746
linkedlist-python 1900 234
linkedlist-python 6800 845
linkedlist-python 4700 615
linkedlist-python 700 49
linkedlist-python 7200 898
linkedlist-python 500 22
linkedlist-python 2400 308
linkedlist-python 2400 316
linkedlist-python 5000 652
linkedlist-python 900 86
linkedlist-python 2500 329
linkedlist-python 4000 550
linkedlist-python 7400 908
linkedlist-python 3400 458
linkedlist-python 2900 389
linkedlist-python 6200 762
linkedlist-python 4800 629
linkedlist-python 3400 470
linkedlist-python 1400 156
linkedlist-python 7000 867
linkedlist-python 1200 126
linkedlist-python 600 38
linkedlist-python 6700 831
linkedlist-python 2100 265
linkedlist-python 4800 631
linkedlist-python 4800 631
linkedlist-python 1500 172
linkedlist-python 700 41
linkedlist-python 3400 482
linkedlist-python 2500 327
linkedlist-python 4300 581
linkedlist-python 1400 158
linkedlist-python 2200 282
linkedlist-python 2900 399
linkedlist-python 1800 232
linkedlist-python 900 84
linkedlist-python 4800 630
linkedlist-python 7600 927
linkedlist-python 6700 835
linkedlist-python 1900 239
linkedlist-python 6700 839
linkedlist-python 1700 200
linkedlist-python 4000 547
linkedlist-python 4200 574
linkedlist-python 1700 208
linkedlist-python 2400 315
linkedlist-python 6900 867
linkedlist-python 6600 823
linkedlist-python 6900 857
linkedlist-python 500 14
linkedlist-python 5600 716
linkedlist-python 1000 95
linkedlist-python 6300 797
linkedlist-python 1100 121
linkedlist-python 7500 912
linkedlist-python 2900 390
linkedlist-python 2300 309
linkedlist-python 900 84
linkedlist-python 3500 493
linkedlist-python 2000 247
linkedlist-python 1300 143
linkedlist-python 1300 139
linkedlist-python 7100 871
linkedlist-python 2600 349
linkedlist-python 2400 307
linkedlist-python 6800 811
linkedlist-python 6200 782
linkedlist-python 7300 862
linkedlist-python 2800 380
linkedlist-python 1200 118
linkedlist-python 700 53
linkedlist-python 5800 752
linkedlist-python 3600 506
linkedlist-python 6800 844
linkedlist-python 7100 874
linkedlist-python 2600 344
linkedlist-python 3900 546
linkedlist-python 4200 571
linkedlist-python 6600 824
linkedlist-python 1200 140
linkedlist-python 6900 860
linkedlist-python 1700 202
linkedlist-python 4000 544
linkedlist-python 1600 181
linkedlist-python 3500 489
linkedlist-python 23900 2640
linkedlist-python 62500 6202
linkedlist-python 92900 9462
linkedlist-python 76900 7879
linkedlist-python 17800 1997
linkedlist-python 63400 6109
linkedlist-python 67500 6797
linkedlist-python 40700 4219
linkedlist-python 56300 5250
linkedlist-python 83600 8474
linkedlist-python 29700 3053
linkedlist-python 33200 3437
linkedlist-python 97400 9299
linkedlist-python 56600 5647
linkedlist-python 94500 9402
linkedlist-python 69700 7061
linkedlist-python 58600 5860
linkedlist-python 34900 3618
linkedlist-python 35000 3607
linkedlist-python 36800 3431
linkedlist-python 63000 6377
linkedlist-python 49600 4910
linkedlist-python 83900 8432
linkedlist-python 42200 4341
linkedlist-python 14900 1694
linkedlist-python 91900 9256
linkedlist-python 50700 5005
linkedlist-python 19800 2212
linkedlist-python 32600 3416
linkedlist-python 22100 2459
linkedlist-python 28500 2991
linkedlist-python 53100 5285
linkedlist-python 53800 5200
linkedlist-python 97100 9613
linkedlist-python 39700 3932
linkedlist-python 89300 9082
linkedlist-python 18200 2087
linkedlist-python 11900 1409
linkedlist-python 60900 5903
linkedlist-python 47300 4624
linkedlist-python 78700 7785
linkedlist-python 25400 2710
linkedlist-python 80200 8146
linkedlist-python 95000 9257
linkedlist-python 46400 4518
linkedlist-python 56500 5660
linkedlist-python 67600 6788
linkedlist-python 71100 7293
linkedlist-python 77200 7844
linkedlist-python 87600 8789
linkedlist-python 37000 3722
linkedlist-python 60100 5951
linkedlist-python 41900 4168
linkedlist-python 99000 9948
linkedlist-python 27900 2981
linkedlist-python 16800 1908
linkedlist-python 21100 2334
linkedlist-python 88400 8945
linkedlist-python 16000 1812
linkedlist-python 25000 2684
linkedlist-python 66600 6732
linkedlist-python 77800 7497
linkedlist-python 97300 9514
linkedlist-python 57300 5689
linkedlist-python 84900 8446
linkedlist-python 39300 3864
linkedlist-python 71700 7292
linkedlist-python 85400 8499
linkedlist-python 58700 5865
linkedlist-python 11300 1333
linkedlist-python 74800 7629
linkedlist-python 28300 2973
linkedlist-python 55400 5417
linkedlist-python 14000 1617
linkedlist-python 24100 2620
linkedlist-python 48600 4600
linkedlist-python 90900 9109
linkedlist-python 55700 5446
linkedlist-python 24900 2644
linkedlist-python 40900 3884
linkedlist-python 20200 2231
linkedlist-python 28800 2961
linkedlist-python 84900 8076
linkedlist-python 36400 3590
linkedlist-python 13800 1576
linkedlist-python 80900 8023
linkedlist-python 35300 3523
linkedlist-python 24900 2628
linkedlist-python 47100 4602
linkedlist-python 23100 2397
linkedlist-python 92100 9292
linkedlist-python 86500 8724
linkedlist-python 68000 6733
linkedlist-python 54000 5110
linkedlist-python 98100 9419
linkedlist-python 71500 7205
linkedlist-python 47100 4465
linkedlist-python 9200 1092
linkedlist-python 9200 1103
linkedlist-python 26100 2541
linkedlist-python 680700 72688
linkedlist-python 702400 74247
linkedlist-python 558100 58525
linkedlist-python 242700 25567
linkedlist-python 161200 16762
linkedlist-python 665300 70373
linkedlist-python 702200 73927
linkedlist-python 668900 69865
linkedlist-python 259900 26645
linkedlist-python 771000 80823
linkedlist-python 863900 91361
linkedlist-python 753600 78839
linkedlist-python 618400 64318
linkedlist-python 628300 66229
linkedlist-python 835400 87966
linkedlist-python 413800 43548
linkedlist-python 894000 94743
linkedlist-python 621800 65032
linkedlist-python 523100 55282
linkedlist-python 437700 45484
linkedlist-python 733200 77531
linkedlist-python 838300 88587
linkedlist-python 483700 50140
linkedlist-python 524900 55213
linkedlist-python 442300 45819
linkedlist-python 264500 27369
linkedlist-python 848400 89850
linkedlist-python 324700 32949
linkedlist-python 265900 27100
linkedlist-python 254700 25995
linkedlist-python 386300 40682
linkedlist-python 553900 58526
linkedlist-python 500000 52987
linkedlist-python 833500 88011
linkedlist-python 707500 74460
linkedlist-python 238400 24570
linkedlist-python 416600 43818
linkedlist-python 612600 63406
linkedlist-python 651400 68063
linkedlist-python 806600 85174
linkedlist-python 269700 27698
linkedlist-python 525900 54366
linkedlist-python 711200 74778
linkedlist-python 720400 75442
linkedlist-python 348900 36609
linkedlist-python 126900 13084
linkedlist-python 412000 42238
linkedlist-python 520500 54288
linkedlist-python 657500 67879
linkedlist-python 426800 44103
linkedlist-python 742200 77836
linkedlist-python 424800 44136
linkedlist-python 350500 36278
linkedlist-python 200600 20456
linkedlist-python 680200 70742
linkedlist-python 529700 55710
linkedlist-python 875000 92421
linkedlist-python 627500 65576
linkedlist-python 896500 95216
linkedlist-python 111500 11341
linkedlist-python 522200 54732
linkedlist-python 461400 48115
linkedlist-python 193800 19622
linkedlist-python 588700 61994
linkedlist-python 745300 77870
linkedlist-python 720400 75461
linkedlist-python 667900 69771
linkedlist-python 804800 85300
linkedlist-python 483000 50361
linkedlist-python 198800 20866
linkedlist-python 591800 61822
linkedlist-python 589200 62019
linkedlist-python 356800 37384
linkedlist-python 840500 89582
linkedlist-python 168000 17423
linkedlist-python 196800 19912
linkedlist-python 738800 78440
linkedlist-python 747700 79377
linkedlist-python 771700 81361
linkedlist-python 499300 52248
linkedlist-python 119800 12343
linkedlist-python 356800 36577
linkedlist-python 732600 77012
linkedlist-python 483000 50361
linkedlist-python 278600 28744
linkedlist-python 569600 59532
linkedlist-python 657800 69387
linkedlist-python 481500 50347
linkedlist-python 696000 73536
linkedlist-python 536300 55895
linkedlist-python 680500 71869
linkedlist-python 311600 32300
linkedlist-python 246100 25440
linkedlist-python 767200 81443
linkedlist-python 150600 15538
linkedlist-python 445600 46383
linkedlist-python 243700 24856
linkedlist-python 370300 38113
linkedlist-python 122000 12496
linkedlist-python 203600 21017
linkedlist-python 8657300 820426
linkedlist-python 5322000 524751
linkedlist-python 6140600 604494
linkedlist-python 6870000 660035
linkedlist-python 9807800 930846
linkedlist-python 2755900 275955
linkedlist-python 3446900 335895
linkedlist-python 9179800 917487
linkedlist-python 6342100 585163
linkedlist-python 9175400 917924
linkedlist-python 6301300 595517
linkedlist-python 7600600 739052
linkedlist-python 3846600 378602
linkedlist-python 7147500 694366
linkedlist-python 5755400 566787
linkedlist-python 9789600 901506
linkedlist-python 9881600 989871
linkedlist-python 4579700 456126
linkedlist-python 7886200 747268
linkedlist-python 9447800 936488
linkedlist-python 8925100 855358
linkedlist-python 3566900 346488
linkedlist-python 6444000 604051
linkedlist-python 6885900 676553
linkedlist-python 8426000 788325
linkedlist-python 4906000 480267
linkedlist-python 9265600 893866
linkedlist-python 9580400 910471
linkedlist-python 5164800 496259
linkedlist-python 2664300 268465
linkedlist-python 7979600 758907
linkedlist-python 2441000 249156
linkedlist-python 9960400 944914
linkedlist-python 7094600 699117
linkedlist-python 7769200 774569
linkedlist-python 10114900 985952
linkedlist-python 2074500 214658
linkedlist-python 1635200 171422
linkedlist-python 9444600 947625
linkedlist-python 9841700 990776
linkedlist-python 6652500 640506
linkedlist-python 8139600 805940
linkedlist-python 7683900 708779
linkedlist-python 2596100 262650
linkedlist-python 7356000 718983
linkedlist-python 4407800 421934
linkedlist-python 7060200 689032
linkedlist-python 2513700 256684
linkedlist-python 1446600 151089
linkedlist-python 8288000 828397
linkedlist-python 5328600 511835
linkedlist-python 3097200 315092
linkedlist-python 9395200 916739
linkedlist-python 1198900 127133
linkedlist-python 1428200 149495
linkedlist-python 1482000 156021
linkedlist-python 5647200 548956
linkedlist-python 1383400 146181
linkedlist-python 3724200 371287
linkedlist-python 2415600 245022
linkedlist-python 9135900 874371
linkedlist-python 4368200 431188
linkedlist-python 1349400 142418
linkedlist-python 2401000 237745
linkedlist-python 9248900 830336
linkedlist-python 1329300 140771
linkedlist-python 10414500 988572
linkedlist-python 973000 103184
linkedlist-python 2745200 275417
linkedlist-python 7995700 789484
linkedlist-python 6818600 645331
linkedlist-python 2675900 268453
linkedlist-python 6766200 607612
linkedlist-python 1050400 111230
linkedlist-python 3288200 326658
linkedlist-python 7951500 774050
linkedlist-python 3694300 367861
linkedlist-python 5666100 550721
linkedlist-python 6137400 580585
linkedlist-python 6868100 667376
linkedlist-python 5033000 493054
linkedlist-python 1811500 189553
linkedlist-python 1612700 168972
linkedlist-python 6160800 570768
linkedlist-python 4431300 428948
linkedlist-python 8283600 819911
linkedlist-python 6182300 578872
linkedlist-python 3488900 350209
linkedlist-python 2737300 274330
linkedlist-python 4298800 416089
linkedlist-python 1303000 138121
linkedlist-python 6664400 637389
linkedlist-python 6579000 637082
linkedlist-python 1830000 186727
linkedlist-python 4428800 429898
linkedlist-python 1288900 134252
linkedlist-python 7032500 665381
linkedlist-python 1919800 201486
linkedlist-python 8727700 799306
linkedlist-python 9014300 908489
linkedlist-cpp 600 553
linkedlist-cpp 900 922
linkedlist-cpp 400 597
linkedlist-cpp 600 915
linkedlist-cpp 300 315
linkedlist-cpp 300 483
linkedlist-cpp 400 409
linkedlist-cpp 400 412
linkedlist-cpp 200 185
linkedlist-cpp 100 113
linkedlist-cpp 900 882
linkedlist-cpp 100 85
linkedlist-cpp 300 335
linkedlist-cpp 200 166
linkedlist-cpp 800 746
