estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 472 80 73440
linkedlist-python 472 80 20791
linkedlist-python 472 80 11649
linkedlist-python 472 80 22303
linkedlist-python 472 80 84226
linkedlist-python 472 80 91279
linkedlist-python 472 80 54100
linkedlist-python 472 80 24451
linkedlist-python 472 80 94794
linkedlist-python 472 80 16495
linkedlist-python 472 80 72528
linkedlist-python 472 80 73940
linkedlist-python 472 80 40641
linkedlist-python 472 80 47763
linkedlist-python 472 80 78324
linkedlist-python 472 80 12719
linkedlist-python 472 80 98543
linkedlist-python 472 80 30729
linkedlist-python 472 80 94398
linkedlist-python 472 80 38279
linkedlist-python 472 80 59336
linkedlist-python 472 80 23833
linkedlist-python 472 80 84849
linkedlist-python 472 80 93919
linkedlist-python 472 80 22112
linkedlist-python 472 80 18174
linkedlist-python 472 80 65465
linkedlist-python 472 80 77525
linkedlist-python 472 80 72063
linkedlist-python 472 80 76121
linkedlist-python 472 80 90432
linkedlist-python 472 80 28559
linkedlist-python 472 80 71413
linkedlist-python 472 80 59177
linkedlist-python 472 80 58879
linkedlist-python 472 80 32956
linkedlist-python 472 80 99216
linkedlist-python 472 80 87144
linkedlist-python 472 80 67440
linkedlist-python 472 80 85921
linkedlist-python 472 80 38325
linkedlist-python 472 80 37434
linkedlist-python 472 80 86359
linkedlist-python 472 80 21820
linkedlist-python 472 80 59534
linkedlist-python 472 80 11862
linkedlist-python 472 80 53863
linkedlist-python 472 80 19627
linkedlist-python 472 80 20304
linkedlist-python 472 80 87069
linkedlist-python 472 80 91995
linkedlist-python 472 80 88973
linkedlist-python 472 80 70146
linkedlist-python 472 80 90078
linkedlist-python 472 80 39560
linkedlist-python 472 80 35574
linkedlist-python 472 80 73431
linkedlist-python 472 80 90928
linkedlist-python 472 80 68307
linkedlist-python 472 80 55426
linkedlist-python 472 80 23758
linkedlist-python 472 80 80613
linkedlist-python 472 80 50182
linkedlist-python 472 80 77762
linkedlist-python 472 80 95768
linkedlist-python 472 80 24370
linkedlist-python 472 80 75333
linkedlist-python 472 80 94443
linkedlist-python 472 80 50942
linkedlist-python 472 80 45933
linkedlist-python 472 80 86422
linkedlist-python 472 80 60928
linkedlist-python 472 80 84846
linkedlist-python 472 80 76241
linkedlist-python 472 80 21664
linkedlist-python 472 80 99439
linkedlist-python 472 80 94529
linkedlist-python 472 80 24869
linkedlist-python 472 80 44671
linkedlist-python 472 80 37773
linkedlist-python 472 80 10449
linkedlist-python 472 80 12808
linkedlist-python 472 80 14435
linkedlist-python 472 80 88177
linkedlist-python 472 80 727791
linkedlist-python 472 80 494488
linkedlist-python 472 80 529508
linkedlist-python 472 80 106007
linkedlist-python 472 80 250829
linkedlist-python 472 80 105348
linkedlist-python 472 80 825811
linkedlist-python 472 80 729912
linkedlist-python 472 80 192624
linkedlist-python 472 80 614031
linkedlist-python 472 80 717777
linkedlist-python 472 80 894757
linkedlist-python 472 80 186447
linkedlist-python 472 80 421717
linkedlist-python 472 80 255469
linkedlist-python 472 80 470719
linkedlist-python 472 80 769532
linkedlist-python 472 80 855053
linkedlist-python 472 80 826011
linkedlist-python 472 80 568605
linkedlist-python 472 80 359668
linkedlist-python 472 80 130833
linkedlist-python 472 80 772596
linkedlist-python 472 80 382131
linkedlist-python 472 80 834656
linkedlist-python 472 80 111581
linkedlist-python 472 80 662816
linkedlist-python 472 80 929594
linkedlist-python 472 80 760871
linkedlist-python 472 80 947797
linkedlist-python 472 80 610611
linkedlist-python 472 80 825612
linkedlist-python 472 80 953927
linkedlist-python 472 80 544294
linkedlist-python 472 80 452625
linkedlist-python 472 80 719291
linkedlist-python 472 80 670464
linkedlist-python 472 80 914295
linkedlist-python 472 80 657422
linkedlist-python 472 80 277944
linkedlist-python 472 80 128419
linkedlist-python 472 80 618778
linkedlist-python 472 80 804757
linkedlist-python 472 80 823135
linkedlist-python 472 80 243626
linkedlist-python 472 80 378093
linkedlist-python 472 80 146241
linkedlist-python 472 80 844492
linkedlist-python 472 80 151998
linkedlist-python 472 80 572359
linkedlist-python 472 80 220841
linkedlist-python 472 80 453933
linkedlist-python 472 80 712673
linkedlist-python 472 80 444427
linkedlist-python 472 80 158575
linkedlist-python 472 80 555213
linkedlist-python 472 80 278643
linkedlist-python 472 80 883552
linkedlist-python 472 80 383044
linkedlist-python 472 80 972529
linkedlist-python 472 80 789787
linkedlist-python 472 80 495086
linkedlist-python 472 80 624421
linkedlist-python 472 80 931622
linkedlist-python 472 80 936056
linkedlist-python 472 80 998164
linkedlist-python 472 80 630949
linkedlist-python 472 80 424170
linkedlist-python 472 80 403473
linkedlist-python 472 80 799447
linkedlist-python 472 80 815083
linkedlist-python 472 80 734197
linkedlist-python 472 80 500652
linkedlist-python 472 80 715559
linkedlist-python 472 80 905008
linkedlist-python 472 80 587224
linkedlist-python 472 80 119194
linkedlist-python 472 80 524915
linkedlist-python 472 80 398717
linkedlist-python 472 80 681456
linkedlist-python 472 80 547196
linkedlist-python 472 80 734940
linkedlist-python 472 80 190690
linkedlist-python 472 80 365848
linkedlist-python 472 80 961773
linkedlist-python 472 80 871858
linkedlist-python 472 80 922225
linkedlist-python 472 80 185692
linkedlist-python 472 80 389594
linkedlist-python 472 80 558794
linkedlist-python 472 80 554018
linkedlist-python 472 80 925448
linkedlist-python 472 80 649586
linkedlist-python 472 80 637844
linkedlist-python 472 80 679773
linkedlist-python 472 80 692726
linkedlist-python 472 80 444095
linkedlist-python 472 80 479299
linkedlist-python 472 80 605128
linkedlist-python 472 80 150055
