estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 360 0 20791
linkedlist-python 360 0 11649
linkedlist-python 360 0 22303
linkedlist-python 360 0 84226
linkedlist-python 360 0 91279
linkedlist-python 360 0 54100
linkedlist-python 360 0 24451
linkedlist-python 360 0 94794
linkedlist-python 360 0 16495
linkedlist-python 360 0 72528
linkedlist-python 360 0 73940
linkedlist-python 360 0 40641
linkedlist-python 360 0 47763
linkedlist-python 360 0 78324
linkedlist-python 360 0 12719
linkedlist-python 360 0 98543
linkedlist-python 360 0 30729
linkedlist-python 360 0 94398
linkedlist-python 360 0 38279
linkedlist-python 360 0 59336
linkedlist-python 360 0 23833
linkedlist-python 360 0 84849
linkedlist-python 360 0 93919
linkedlist-python 360 0 22112
linkedlist-python 360 0 18174
linkedlist-python 360 0 65465
linkedlist-python 360 0 77525
linkedlist-python 360 0 72063
linkedlist-python 360 0 76121
linkedlist-python 360 0 90432
linkedlist-python 360 0 28559
linkedlist-python 360 0 71413
linkedlist-python 360 0 59177
linkedlist-python 360 0 58879
linkedlist-python 360 0 32956
linkedlist-python 360 0 99216
linkedlist-python 360 0 87144
linkedlist-python 360 0 67440
linkedlist-python 360 0 85921
linkedlist-python 360 0 38325
linkedlist-python 360 0 37434
linkedlist-python 360 0 86359
linkedlist-python 360 0 21820
linkedlist-python 360 0 59534
linkedlist-python 360 0 11862
linkedlist-python 360 0 53863
linkedlist-python 360 0 19627
linkedlist-python 360 0 20304
linkedlist-python 360 0 87069
linkedlist-python 360 0 91995
linkedlist-python 360 0 88973
linkedlist-python 360 0 70146
linkedlist-python 360 0 90078
linkedlist-python 360 0 39560
linkedlist-python 360 0 35574
linkedlist-python 360 0 73431
linkedlist-python 360 0 90928
linkedlist-python 360 0 68307
linkedlist-python 360 0 55426
linkedlist-python 360 0 23758
linkedlist-python 360 0 80613
linkedlist-python 360 0 50182
linkedlist-python 360 0 77762
linkedlist-python 360 0 95768
linkedlist-python 360 0 24370
linkedlist-python 360 0 75333
linkedlist-python 360 0 94443
linkedlist-python 360 0 50942
linkedlist-python 360 0 45933
linkedlist-python 360 0 86422
linkedlist-python 360 0 60928
linkedlist-python 360 0 84846
linkedlist-python 360 0 76241
linkedlist-python 360 0 21664
linkedlist-python 360 0 99439
linkedlist-python 360 0 94529
linkedlist-python 360 0 24869
linkedlist-python 360 0 44671
linkedlist-python 360 0 37773
linkedlist-python 360 0 10449
linkedlist-python 360 0 12808
linkedlist-python 360 0 14435
linkedlist-python 360 0 88177
linkedlist-python 360 0 727791
linkedlist-python 360 0 494488
linkedlist-python 360 0 529508
linkedlist-python 360 0 106007
linkedlist-python 360 0 250829
linkedlist-python 360 0 105348
linkedlist-python 360 0 825811
linkedlist-python 360 0 729912
linkedlist-python 360 0 192624
linkedlist-python 360 0 614031
linkedlist-python 360 0 717777
linkedlist-python 360 0 894757
linkedlist-python 360 0 186447
linkedlist-python 360 0 421717
linkedlist-python 360 0 255469
linkedlist-python 360 0 470719
linkedlist-python 360 0 769532
linkedlist-python 360 0 855053
linkedlist-python 360 0 826011
linkedlist-python 360 0 568605
linkedlist-python 360 0 359668
linkedlist-python 360 0 130833
linkedlist-python 360 0 772596
linkedlist-python 360 0 382131
linkedlist-python 360 0 834656
linkedlist-python 360 0 111581
linkedlist-python 360 0 662816
linkedlist-python 360 0 929594
linkedlist-python 360 0 760871
linkedlist-python 360 0 947797
linkedlist-python 360 0 610611
linkedlist-python 360 0 825612
linkedlist-python 360 0 953927
linkedlist-python 360 0 544294
linkedlist-python 360 0 452625
linkedlist-python 360 0 719291
linkedlist-python 360 0 670464
linkedlist-python 360 0 914295
linkedlist-python 360 0 657422
linkedlist-python 360 0 277944
linkedlist-python 360 0 128419
linkedlist-python 360 0 618778
linkedlist-python 360 0 804757
linkedlist-python 360 0 823135
linkedlist-python 360 0 243626
linkedlist-python 360 0 378093
linkedlist-python 360 0 146241
linkedlist-python 360 0 844492
linkedlist-python 360 0 151998
linkedlist-python 360 0 572359
linkedlist-python 360 0 220841
linkedlist-python 360 0 453933
linkedlist-python 360 0 712673
linkedlist-python 360 0 444427
linkedlist-python 360 0 158575
linkedlist-python 360 0 555213
linkedlist-python 360 0 278643
linkedlist-python 360 0 883552
linkedlist-python 360 0 383044
linkedlist-python 360 0 972529
linkedlist-python 360 0 789787
linkedlist-python 360 0 495086
linkedlist-python 360 0 624421
linkedlist-python 360 0 931622
linkedlist-python 360 0 936056
linkedlist-python 360 0 998164
linkedlist-python 360 0 630949
linkedlist-python 360 0 424170
linkedlist-python 360 0 403473
linkedlist-python 360 0 799447
linkedlist-python 360 0 815083
linkedlist-python 360 0 734197
linkedlist-python 360 0 500652
linkedlist-python 360 0 715559
linkedlist-python 360 0 905008
linkedlist-python 360 0 587224
linkedlist-python 360 0 119194
linkedlist-python 360 0 524915
linkedlist-python 360 0 398717
linkedlist-python 360 0 681456
linkedlist-python 360 0 547196
linkedlist-python 360 0 734940
linkedlist-python 360 0 190690
linkedlist-python 360 0 365848
linkedlist-python 360 0 961773
linkedlist-python 360 0 871858
linkedlist-python 360 0 922225
linkedlist-python 360 0 185692
linkedlist-python 360 0 389594
linkedlist-python 360 0 558794
linkedlist-python 360 0 554018
linkedlist-python 360 0 925448
linkedlist-python 360 0 649586
linkedlist-python 360 0 637844
linkedlist-python 360 0 679773
linkedlist-python 360 0 692726
linkedlist-python 360 0 444095
linkedlist-python 360 0 479299
linkedlist-python 360 0 605128
linkedlist-python 360 0 150055
