estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 584 80 20791
linkedlist-python 584 80 11649
linkedlist-python 584 80 22303
linkedlist-python 584 80 84226
linkedlist-python 584 80 91279
linkedlist-python 584 80 54100
linkedlist-python 584 80 24451
linkedlist-python 584 80 94794
linkedlist-python 584 80 16495
linkedlist-python 584 80 72528
linkedlist-python 584 80 73940
linkedlist-python 584 80 40641
linkedlist-python 584 80 47763
linkedlist-python 584 80 78324
linkedlist-python 584 80 12719
linkedlist-python 584 80 98543
linkedlist-python 584 80 30729
linkedlist-python 584 80 94398
linkedlist-python 584 80 38279
linkedlist-python 584 80 59336
linkedlist-python 584 80 23833
linkedlist-python 584 80 84849
linkedlist-python 584 80 93919
linkedlist-python 584 80 22112
linkedlist-python 584 80 18174
linkedlist-python 584 80 65465
linkedlist-python 584 80 77525
linkedlist-python 584 80 72063
linkedlist-python 584 80 76121
linkedlist-python 584 80 90432
linkedlist-python 584 80 28559
linkedlist-python 584 80 71413
linkedlist-python 584 80 59177
linkedlist-python 584 80 58879
linkedlist-python 584 80 32956
linkedlist-python 584 80 99216
linkedlist-python 584 80 87144
linkedlist-python 584 80 67440
linkedlist-python 584 80 85921
linkedlist-python 584 80 38325
linkedlist-python 584 80 37434
linkedlist-python 584 80 86359
linkedlist-python 584 80 21820
linkedlist-python 584 80 59534
linkedlist-python 584 80 11862
linkedlist-python 584 80 53863
linkedlist-python 584 80 19627
linkedlist-python 584 80 20304
linkedlist-python 584 80 87069
linkedlist-python 584 80 91995
linkedlist-python 584 80 88973
linkedlist-python 584 80 70146
linkedlist-python 584 80 90078
linkedlist-python 584 80 39560
linkedlist-python 584 80 35574
linkedlist-python 584 80 73431
linkedlist-python 584 80 90928
linkedlist-python 584 80 68307
linkedlist-python 584 80 55426
linkedlist-python 584 80 23758
linkedlist-python 584 80 80613
linkedlist-python 584 80 50182
linkedlist-python 584 80 77762
linkedlist-python 584 80 95768
linkedlist-python 584 80 24370
linkedlist-python 584 80 75333
linkedlist-python 584 80 94443
linkedlist-python 584 80 50942
linkedlist-python 584 80 45933
linkedlist-python 584 80 86422
linkedlist-python 584 80 60928
linkedlist-python 584 80 84846
linkedlist-python 584 80 76241
linkedlist-python 584 80 21664
linkedlist-python 584 80 99439
linkedlist-python 584 80 94529
linkedlist-python 584 80 24869
linkedlist-python 584 80 44671
linkedlist-python 584 80 37773
linkedlist-python 584 80 10449
linkedlist-python 584 80 12808
linkedlist-python 584 80 14435
