estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 9988 45255
ArrayList-java 6286 27565
ArrayList-java 12920 60816
ArrayList-java 18858 93576
ArrayList-java 3352 11371
ArrayList-java 3772 13752
ArrayList-java 8171 35536
ArrayList-java 7123 30599
ArrayList-java 16273 79400
ArrayList-java 15923 77201
ArrayList-java 18159 90727
ArrayList-java 17041 83174
ArrayList-java 12293 57010
ArrayList-java 14108 66911
ArrayList-java 4331 17050
ArrayList-java 5099 19909
ArrayList-java 10127 46696
ArrayList-java 14876 71990
ArrayList-java 11873 54824
ArrayList-java 15156 73902
ArrayList-java 18089 89143
ArrayList-java 15645 74814
ArrayList-java 6216 25506
ArrayList-java 8660 38859
ArrayList-java 19416 97903
ArrayList-java 14387 69259
ArrayList-java 16692 82115
ArrayList-java 8102 35230
ArrayList-java 7683 34531
ArrayList-java 12432 57939
ArrayList-java 3353 11293
ArrayList-java 12571 59174
ArrayList-java 9988 44809
ArrayList-java 4820 19596
ArrayList-java 3772 12641
ArrayList-java 7683 34252
ArrayList-java 4400 16854
ArrayList-java 5797 24994
ArrayList-java 12432 57637
ArrayList-java 10895 49964
ArrayList-java 4749 18336
ArrayList-java 14108 67487
ArrayList-java 8661 38554
ArrayList-java 16832 82210
ArrayList-java 16273 79605
ArrayList-java 15505 75070
ArrayList-java 19625 98639
ArrayList-java 19207 96343
ArrayList-java 18997 94665
ArrayList-java 15366 72862
ArrayList-java 9987 45498
ArrayList-java 11943 54775
ArrayList-java 8101 34622
ArrayList-java 7054 30512
ArrayList-java 14667 70163
ArrayList-java 5797 24257
ArrayList-java 11454 53931
ArrayList-java 12432 58441
ArrayList-java 17530 85240
ArrayList-java 13130 61667
ArrayList-java 13828 66069
ArrayList-java 9778 44197
ArrayList-java 14737 71891
ArrayList-java 17739 87111
ArrayList-java 6146 25294
ArrayList-java 6076 24463
ArrayList-java 161335 783646
ArrayList-java 109023 499783
ArrayList-java 53290 179376
ArrayList-java 132630 672449
ArrayList-java 43442 210976
ArrayList-java 135214 684981
ArrayList-java 103785 431687
ArrayList-java 62020 310188
ArrayList-java 111118 515448
ArrayList-java 112236 584910
ArrayList-java 126274 648265
ArrayList-java 45467 239083
ArrayList-java 111677 584539
ArrayList-java 185011 935826
ArrayList-java 110770 578953
ArrayList-java 23886 119453
ArrayList-java 191366 958291
ArrayList-java 79550 411874
ArrayList-java 125716 644360
ArrayList-java 97639 494415
ArrayList-java 185150 926496
ArrayList-java 189481 938708
ArrayList-java 86394 440964
ArrayList-java 158262 810327
ArrayList-java 164408 836902
ArrayList-java 118870 623440
ArrayList-java 172788 875876
ArrayList-java 87512 435465
ArrayList-java 159798 817049
ArrayList-java 141779 736852
ArrayList-java 63626 337421
ArrayList-java 30032 153831
ArrayList-java 49239 256896
ArrayList-java 93448 472112
ArrayList-java 86115 440483
ArrayList-java 147506 761861
ArrayList-java 189132 949696
ArrayList-java 139753 729680
ArrayList-java 53010 278436
ArrayList-java 177957 898903
ArrayList-java 108674 517379
ArrayList-java 61111 321855
ArrayList-java 69772 367958
ArrayList-java 189481 952042
ArrayList-java 81436 424845
ArrayList-java 190668 952604
ArrayList-java 75429 380471
ArrayList-java 104624 541609
ArrayList-java 91981 451639
ArrayList-java 91073 461987
ArrayList-java 144083 746430
ArrayList-java 48749 257414
ArrayList-java 194300 970064
ArrayList-java 45607 239495
ArrayList-java 173277 867082
ArrayList-java 51124 268995
ArrayList-java 61531 322711
ArrayList-java 137519 713398
ArrayList-java 116147 592947
ArrayList-java 52451 276148
ArrayList-java 169436 861650
ArrayList-java 173138 877626
ArrayList-java 83391 428987
ArrayList-java 162522 779273
ArrayList-java 38483 197489
ArrayList-java 69492 353791
ArrayList-java 120687 617377
ArrayList-java 114331 598693
ArrayList-java 99105 499084
ArrayList-java 30032 151561
ArrayList-java 90306 471387
ArrayList-java 153582 792693
ArrayList-java 148065 772589
ArrayList-java 108883 566000
ArrayList-java 25004 127033
ArrayList-java 166852 848497
ArrayList-java 170833 869822
ArrayList-java 127321 667776
ArrayList-java 124459 641404
ArrayList-java 118942 621191
ArrayList-java 126345 651434
ArrayList-java 47143 246927
ArrayList-java 108745 517566
ArrayList-java 66629 354410
ArrayList-java 87233 440089
ArrayList-java 179424 891510
ArrayList-java 31499 162527
ArrayList-java 108814 554055
ArrayList-java 63905 340141
ArrayList-java 178587 920897
ArrayList-java 145620 754181
ArrayList-java 153932 792454
ArrayList-java 122992 634559
ArrayList-java 79760 410337
ArrayList-java 58109 292478
ArrayList-java 108744 546925
ArrayList-java 31429 161669
ArrayList-java 95264 479214
ArrayList-java 173628 876301
ArrayList-java 162523 829655
