estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 21162 54022
ArrayList-java 17740 45255
ArrayList-java 11314 27565
ArrayList-java 23537 60816
ArrayList-java 37575 93576
ArrayList-java 5587 11371
ArrayList-java 6286 13752
ArrayList-java 14318 35536
ArrayList-java 12362 30599
ArrayList-java 31079 79400
ArrayList-java 29962 77201
ArrayList-java 36178 90727
ArrayList-java 32826 83174
ArrayList-java 22349 57010
ArrayList-java 25772 66911
ArrayList-java 7613 17050
ArrayList-java 8590 19909
ArrayList-java 18509 46696
ArrayList-java 27727 71990
ArrayList-java 21511 54824
ArrayList-java 28915 73902
ArrayList-java 35200 89143
ArrayList-java 29124 74814
ArrayList-java 10546 25506
ArrayList-java 15644 38859
ArrayList-java 39530 97903
ArrayList-java 26679 69259
ArrayList-java 31988 82115
ArrayList-java 14178 35230
ArrayList-java 13828 34531
ArrayList-java 22489 57939
ArrayList-java 5308 11293
ArrayList-java 22978 59174
ArrayList-java 17740 44809
ArrayList-java 8520 19596
ArrayList-java 5797 12641
ArrayList-java 13898 34252
ArrayList-java 7542 16854
ArrayList-java 10407 24994
ArrayList-java 22490 57637
ArrayList-java 19696 49964
ArrayList-java 8032 18336
ArrayList-java 26191 67487
ArrayList-java 15365 38554
ArrayList-java 31918 82210
ArrayList-java 31499 79605
ArrayList-java 29054 75070
ArrayList-java 39042 98639
ArrayList-java 38204 96343
ArrayList-java 37715 94665
ArrayList-java 28286 72862
ArrayList-java 18159 45498
ArrayList-java 21581 54775
ArrayList-java 13898 34622
ArrayList-java 12432 30512
ArrayList-java 27168 70163
ArrayList-java 10128 24257
ArrayList-java 21092 53931
ArrayList-java 22908 58441
ArrayList-java 33803 85240
ArrayList-java 23956 61667
ArrayList-java 25702 66069
ArrayList-java 17461 44197
ArrayList-java 27937 71891
ArrayList-java 34363 87111
ArrayList-java 10477 25294
ArrayList-java 10127 24463
ArrayList-java 313101 783646
ArrayList-java 191995 499783
ArrayList-java 72845 179376
ArrayList-java 269310 672449
ArrayList-java 80947 210976
ArrayList-java 272383 684981
ArrayList-java 168249 431687
ArrayList-java 122921 310188
ArrayList-java 197512 515448
ArrayList-java 221189 584910
ArrayList-java 244237 648265
ArrayList-java 88211 239083
ArrayList-java 229920 584539
ArrayList-java 358289 935826
ArrayList-java 218814 578953
ArrayList-java 45258 119453
ArrayList-java 366041 958291
ArrayList-java 154560 411874
ArrayList-java 241862 644360
ArrayList-java 183823 494415
ArrayList-java 354167 926496
ArrayList-java 363596 938708
ArrayList-java 165176 440964
ArrayList-java 307234 810327
ArrayList-java 320574 836902
ArrayList-java 233341 623440
ArrayList-java 339361 875876
ArrayList-java 169646 435465
ArrayList-java 314637 817049
ArrayList-java 278040 736852
ArrayList-java 130534 337421
ArrayList-java 58668 153831
ArrayList-java 95403 256896
ArrayList-java 190529 472112
ArrayList-java 165804 440483
ArrayList-java 299202 761861
ArrayList-java 358708 949696
ArrayList-java 271056 729680
ArrayList-java 108883 278436
ArrayList-java 342574 898903
ArrayList-java 192205 517379
ArrayList-java 122013 321855
ArrayList-java 138776 367958
ArrayList-java 377774 952042
ArrayList-java 161753 424845
ArrayList-java 362199 952604
ArrayList-java 147855 380471
ArrayList-java 204288 541609
ArrayList-java 171252 451639
ArrayList-java 183265 461987
ArrayList-java 283558 746430
ArrayList-java 95404 257414
ArrayList-java 374771 970064
ArrayList-java 88211 239495
ArrayList-java 338593 867082
ArrayList-java 99315 268995
ArrayList-java 123481 322711
ArrayList-java 272384 713398
ArrayList-java 224262 592947
ArrayList-java 108813 276148
ArrayList-java 326720 861650
ArrayList-java 338174 877626
ArrayList-java 161195 428987
ArrayList-java 294872 779273
ArrayList-java 73404 197489
ArrayList-java 133956 353791
ArrayList-java 240815 617377
ArrayList-java 234180 598693
ArrayList-java 187246 499084
ArrayList-java 56921 151561
ArrayList-java 178445 471387
ArrayList-java 298434 792693
ArrayList-java 291450 772589
ArrayList-java 211201 566000
ArrayList-java 48261 127033
ArrayList-java 330841 848497
ArrayList-java 333146 869822
ArrayList-java 251919 667776
ArrayList-java 241234 641404
ArrayList-java 236695 621191
ArrayList-java 256181 651434
ArrayList-java 92191 246927
ArrayList-java 196815 517566
ArrayList-java 133958 354410
ArrayList-java 164828 440089
ArrayList-java 338106 891510
ArrayList-java 61112 162527
ArrayList-java 208479 554055
ArrayList-java 131093 340141
ArrayList-java 353960 920897
ArrayList-java 290054 754181
ArrayList-java 302905 792454
ArrayList-java 245076 634559
ArrayList-java 156866 410337
ArrayList-java 115030 292478
ArrayList-java 209387 546925
ArrayList-java 61042 161669
ArrayList-java 182987 479214
ArrayList-java 334823 876301
ArrayList-java 315756 829655
