estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 12781 45255
ArrayList-java 8171 27565
ArrayList-java 17320 60816
ArrayList-java 26191 93576
ArrayList-java 4260 11371
ArrayList-java 4749 13752
ArrayList-java 10127 35536
ArrayList-java 8940 30599
ArrayList-java 22280 79400
ArrayList-java 21651 77201
ArrayList-java 25423 90727
ArrayList-java 23327 83174
ArrayList-java 15854 57010
ArrayList-java 18648 66911
ArrayList-java 5657 17050
ArrayList-java 6216 19909
ArrayList-java 12991 46696
ArrayList-java 20184 71990
ArrayList-java 15365 54824
ArrayList-java 21162 73902
ArrayList-java 25143 89143
ArrayList-java 22559 74814
ArrayList-java 7613 25506
ArrayList-java 11104 38859
ArrayList-java 28146 97903
ArrayList-java 19277 69259
ArrayList-java 23397 82115
ArrayList-java 10058 35230
ArrayList-java 9917 34531
ArrayList-java 15854 57939
ArrayList-java 4260 11293
ArrayList-java 16204 59174
ArrayList-java 12362 44809
ArrayList-java 6146 19596
ArrayList-java 4331 12641
ArrayList-java 9848 34252
ArrayList-java 5308 16854
ArrayList-java 7543 24994
ArrayList-java 15993 57637
ArrayList-java 13969 49964
ArrayList-java 5797 18336
ArrayList-java 18717 67487
ArrayList-java 10965 38554
ArrayList-java 23048 82210
ArrayList-java 22489 79605
ArrayList-java 21092 75070
ArrayList-java 27657 98639
ArrayList-java 27168 96343
ArrayList-java 26749 94665
ArrayList-java 20534 72862
ArrayList-java 12781 45498
ArrayList-java 15365 54775
ArrayList-java 9987 34622
ArrayList-java 9009 30512
ArrayList-java 20045 70163
ArrayList-java 7264 24257
ArrayList-java 15225 53931
ArrayList-java 16133 58441
ArrayList-java 24165 85240
ArrayList-java 17181 61667
ArrayList-java 18229 66069
ArrayList-java 12432 44197
ArrayList-java 20394 71891
ArrayList-java 24654 87111
ArrayList-java 7613 25294
ArrayList-java 7543 24463
ArrayList-java 267564 783646
ArrayList-java 154281 499783
ArrayList-java 52381 179376
ArrayList-java 207011 672449
ArrayList-java 61880 210976
ArrayList-java 212319 684981
ArrayList-java 132700 431687
ArrayList-java 92051 310188
ArrayList-java 159169 515448
ArrayList-java 184592 584910
ArrayList-java 200865 648265
ArrayList-java 71658 239083
ArrayList-java 187735 584539
ArrayList-java 306536 935826
ArrayList-java 178376 578953
ArrayList-java 34432 119453
ArrayList-java 320853 958291
ArrayList-java 128509 411874
ArrayList-java 204357 644360
ArrayList-java 153791 494415
ArrayList-java 305419 926496
ArrayList-java 316732 938708
ArrayList-java 135144 440964
ArrayList-java 261837 810327
ArrayList-java 276923 836902
ArrayList-java 193950 623440
ArrayList-java 283907 875876
ArrayList-java 134445 435465
ArrayList-java 270427 817049
ArrayList-java 234459 736852
ArrayList-java 100712 337421
ArrayList-java 44350 153831
ArrayList-java 75849 256896
ArrayList-java 146039 472112
ArrayList-java 137867 440483
ArrayList-java 245983 761861
ArrayList-java 312053 949696
ArrayList-java 238579 729680
ArrayList-java 82064 278436
ArrayList-java 301158 898903
ArrayList-java 164617 517379
ArrayList-java 96382 321855
ArrayList-java 114331 367958
ArrayList-java 313520 952042
ArrayList-java 134096 424845
ArrayList-java 317989 952604
ArrayList-java 117823 380471
ArrayList-java 170274 541609
ArrayList-java 144991 451639
ArrayList-java 144084 461987
ArrayList-java 232643 746430
ArrayList-java 75359 257414
ArrayList-java 342923 970064
ArrayList-java 69562 239495
ArrayList-java 280764 867082
ArrayList-java 79969 268995
ArrayList-java 98896 322711
ArrayList-java 222097 713398
ArrayList-java 181938 592947
ArrayList-java 90166 276148
ArrayList-java 283697 861650
ArrayList-java 282580 877626
ArrayList-java 131721 428987
ArrayList-java 248497 779273
ArrayList-java 59994 197489
ArrayList-java 110699 353791
ArrayList-java 193462 617377
ArrayList-java 184033 598693
ArrayList-java 156865 499084
ArrayList-java 44349 151561
ArrayList-java 144713 471387
ArrayList-java 253456 792693
ArrayList-java 246821 772589
ArrayList-java 185919 566000
ArrayList-java 36806 127033
ArrayList-java 273920 848497
ArrayList-java 287399 869822
ArrayList-java 204357 667776
ArrayList-java 198979 641404
ArrayList-java 194161 621191
ArrayList-java 202822 651434
ArrayList-java 72426 246927
ArrayList-java 158891 517566
ArrayList-java 111119 354410
ArrayList-java 134585 440089
ArrayList-java 286213 891510
ArrayList-java 48122 162527
ArrayList-java 171811 554055
ArrayList-java 108884 340141
ArrayList-java 306467 920897
ArrayList-java 254086 754181
ArrayList-java 259115 792454
ArrayList-java 203799 634559
ArrayList-java 137728 410337
ArrayList-java 90306 292478
ArrayList-java 171811 546925
ArrayList-java 45886 161669
ArrayList-java 154979 479214
ArrayList-java 279647 876301
ArrayList-java 264772 829655
