estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 1467 60816
ArrayList-java 1885 93576
ArrayList-java 1397 11371
ArrayList-java 1397 13752
ArrayList-java 1397 35536
ArrayList-java 1466 30599
ArrayList-java 1467 79400
ArrayList-java 1816 77201
ArrayList-java 1885 90727
ArrayList-java 1467 83174
ArrayList-java 1466 57010
ArrayList-java 1467 66911
ArrayList-java 1397 17050
ArrayList-java 1397 19909
ArrayList-java 1397 46696
ArrayList-java 1467 71990
ArrayList-java 1467 54824
ArrayList-java 1467 73902
ArrayList-java 1467 89143
ArrayList-java 1885 74814
ArrayList-java 1397 25506
ArrayList-java 1397 38859
ArrayList-java 1885 97903
ArrayList-java 1885 69259
ArrayList-java 1467 82115
ArrayList-java 1466 35230
ArrayList-java 1397 34531
ArrayList-java 1885 57939
ArrayList-java 1397 11293
ArrayList-java 1467 59174
ArrayList-java 1397 44809
ArrayList-java 1397 19596
ArrayList-java 1397 12641
ArrayList-java 1466 34252
ArrayList-java 1397 16854
ArrayList-java 1397 24994
ArrayList-java 1467 57637
ArrayList-java 1397 49964
ArrayList-java 1397 18336
ArrayList-java 1885 67487
ArrayList-java 1397 38554
ArrayList-java 1816 82210
ArrayList-java 1886 79605
ArrayList-java 1886 75070
ArrayList-java 1816 98639
ArrayList-java 1885 96343
ArrayList-java 1816 94665
ArrayList-java 1816 72862
ArrayList-java 1466 45498
ArrayList-java 1466 54775
ArrayList-java 1466 34622
ArrayList-java 1397 30512
ArrayList-java 1467 70163
ArrayList-java 1397 24257
ArrayList-java 1467 53931
ArrayList-java 1467 58441
ArrayList-java 1467 85240
ArrayList-java 1467 61667
ArrayList-java 1467 66069
ArrayList-java 1397 44197
ArrayList-java 1885 71891
ArrayList-java 1467 87111
ArrayList-java 1397 25294
ArrayList-java 1397 24463
ArrayList-java 5797 783646
ArrayList-java 5727 499783
ArrayList-java 4260 179376
ArrayList-java 5727 672449
ArrayList-java 4330 210976
ArrayList-java 5796 684981
ArrayList-java 5588 431687
ArrayList-java 5308 310188
ArrayList-java 4749 515448
ArrayList-java 2375 584910
ArrayList-java 2444 648265
ArrayList-java 2374 239083
ArrayList-java 2374 584539
ArrayList-java 2375 935826
ArrayList-java 2375 578953
ArrayList-java 2305 119453
ArrayList-java 2794 958291
ArrayList-java 2375 411874
ArrayList-java 2444 644360
ArrayList-java 2375 494415
ArrayList-java 2445 926496
ArrayList-java 2794 938708
