estrutura_linguagem tempo tamanho
linkedlist-java 31200 27698
linkedlist-java 61400 54366
linkedlist-java 84700 74778
linkedlist-java 85600 75442
linkedlist-java 41400 36609
linkedlist-java 14800 13084
linkedlist-java 47800 42238
linkedlist-java 61300 54288
linkedlist-java 77100 67879
linkedlist-java 50000 44103
linkedlist-java 88100 77836
linkedlist-java 50000 44136
linkedlist-java 40900 36278
linkedlist-java 23100 20456
linkedlist-java 80100 70742
linkedlist-java 63000 55710
linkedlist-java 105400 92421
linkedlist-java 74100 65576
linkedlist-java 108600 95216
linkedlist-java 12900 11341
linkedlist-java 62000 54732
linkedlist-java 55400 48115
linkedlist-java 22100 19622
linkedlist-java 70000 61994
linkedlist-java 90100 77870
linkedlist-java 85700 75461
linkedlist-java 78900 69771
linkedlist-java 97000 85300
linkedlist-java 56800 50361
linkedlist-java 23700 20866
linkedlist-java 69900 61822
linkedlist-java 70300 62019
linkedlist-java 42200 37384
linkedlist-java 103800 89582
linkedlist-java 19600 17423
linkedlist-java 22500 19912
linkedlist-java 89600 78440
linkedlist-java 90200 79377
linkedlist-java 92100 81361
linkedlist-java 59100 52248
linkedlist-java 13900 12343
linkedlist-java 41300 36577
linkedlist-java 87500 77012
linkedlist-java 57100 50361
linkedlist-java 32400 28744
linkedlist-java 67200 59532
linkedlist-java 78400 69387
linkedlist-java 56900 50347
linkedlist-java 83700 73536
linkedlist-java 63200 55895
linkedlist-java 81500 71869
linkedlist-java 36600 32300
linkedlist-java 28700 25440
linkedlist-java 92800 81443
linkedlist-java 17500 15538
linkedlist-java 52400 46383
linkedlist-java 28100 24856
linkedlist-java 43000 38113
linkedlist-java 14500 12496
linkedlist-java 23700 21017
linkedlist-java 1131100 820426
linkedlist-java 708200 524751
linkedlist-java 840800 604494
linkedlist-java 922200 660035
linkedlist-java 1289000 930846
linkedlist-java 376800 275955
linkedlist-java 428100 335895
linkedlist-java 1280300 917487
linkedlist-java 824900 585163
linkedlist-java 1260100 917924
linkedlist-java 821700 595517
linkedlist-java 1089800 739052
linkedlist-java 508800 378602
linkedlist-java 970100 694366
linkedlist-java 798900 566787
linkedlist-java 1234800 901506
linkedlist-java 1366300 989871
linkedlist-java 637200 456126
linkedlist-java 1028500 747268
linkedlist-java 1275200 936488
linkedlist-java 1186300 855358
linkedlist-java 454300 346488
linkedlist-java 826200 604051
linkedlist-java 923700 676553
linkedlist-java 1076100 788325
linkedlist-java 682400 480267
linkedlist-java 1255900 893866
linkedlist-java 1261700 910471
linkedlist-java 753100 496259
linkedlist-java 384000 268465
linkedlist-java 1115000 758907
linkedlist-java 357700 249156
linkedlist-java 1305200 944914
linkedlist-java 1009800 699117
linkedlist-java 1094200 774569
linkedlist-java 1354100 985952
linkedlist-java 274300 214658
linkedlist-java 220300 171422
linkedlist-java 1293300 947625
linkedlist-java 1340500 990776
linkedlist-java 894400 640506
linkedlist-java 1145000 805940
linkedlist-java 980500 708779
linkedlist-java 318000 262650
linkedlist-java 998900 718983
linkedlist-java 582100 421934
linkedlist-java 955400 689032
linkedlist-java 312500 256684
linkedlist-java 175200 151089
linkedlist-java 1128200 828397
linkedlist-java 705100 511835
linkedlist-java 382600 315092
linkedlist-java 1249400 916739
linkedlist-java 147200 127133
