estrutura-linguagem tempo tamanho_da_entrada
linkedlist-java 14000 24856
linkedlist-java 21600 38113
linkedlist-java 7200 12496
linkedlist-java 11900 21017
linkedlist-java 582200 820426
linkedlist-java 403500 524751
linkedlist-java 456600 604494
linkedlist-java 459400 660035
linkedlist-java 652900 930846
linkedlist-java 167000 275955
linkedlist-java 225800 335895
linkedlist-java 645800 917487
linkedlist-java 436900 585163
linkedlist-java 640000 917924
linkedlist-java 447200 595517
linkedlist-java 523100 739052
linkedlist-java 266400 378602
linkedlist-java 498800 694366
linkedlist-java 431100 566787
linkedlist-java 632500 901506
linkedlist-java 683400 989871
linkedlist-java 341300 456126
linkedlist-java 626900 747268
linkedlist-java 655800 936488
linkedlist-java 604000 855358
linkedlist-java 247600 346488
linkedlist-java 449200 604051
linkedlist-java 493200 676553
linkedlist-java 550300 788325
linkedlist-java 356400 480267
linkedlist-java 649900 893866
linkedlist-java 709800 910471
linkedlist-java 379100 496259
linkedlist-java 217000 268465
linkedlist-java 551700 758907
linkedlist-java 176500 249156
linkedlist-java 656400 944914
linkedlist-java 502500 699117
linkedlist-java 534800 774569
linkedlist-java 723500 985952
linkedlist-java 143000 214658
linkedlist-java 110600 171422
linkedlist-java 731000 947625
linkedlist-java 694300 990776
linkedlist-java 470400 640506
linkedlist-java 569700 805940
linkedlist-java 492300 708779
linkedlist-java 157200 262650
linkedlist-java 507100 718983
linkedlist-java 309200 421934
linkedlist-java 496400 689032
linkedlist-java 162200 256684
linkedlist-java 90300 151089
linkedlist-java 572400 828397
linkedlist-java 385200 511835
linkedlist-java 202300 315092
linkedlist-java 627600 916739
linkedlist-java 72700 127133
linkedlist-java 87000 149495
linkedlist-java 91500 156021
linkedlist-java 403500 548956
linkedlist-java 88000 146181
linkedlist-java 267000 371287
linkedlist-java 155400 245022
linkedlist-java 619800 874371
linkedlist-java 320300 431188
linkedlist-java 82000 142418
linkedlist-java 142600 237745
linkedlist-java 585600 830336
linkedlist-java 83800 140771
linkedlist-java 695400 988572
linkedlist-java 59700 103184
linkedlist-java 220300 275417
linkedlist-java 555800 789484
linkedlist-java 478300 645331
linkedlist-java 169600 268453
linkedlist-java 447300 607612
linkedlist-java 63600 111230
linkedlist-java 237900 326658
linkedlist-java 536000 774050
linkedlist-java 262400 367861
linkedlist-java 411600 550721
linkedlist-java 436200 580585
linkedlist-java 488900 667376
linkedlist-java 364000 493054
linkedlist-java 114900 189553
linkedlist-java 100100 168972
linkedlist-java 426600 570768
linkedlist-java 354700 428948
linkedlist-java 587000 819911
linkedlist-java 429800 578872
linkedlist-java 240800 350209
linkedlist-java 164500 274330
linkedlist-java 309300 416089
linkedlist-java 80200 138121
linkedlist-java 468500 637389
linkedlist-java 473000 637082
linkedlist-java 113300 186727
linkedlist-java 316100 429898
linkedlist-java 80000 134252
linkedlist-java 476000 665381
linkedlist-java 119300 201486
linkedlist-java 565000 799306
linkedlist-java 662300 908489
linkedlist-python 4300 553
linkedlist-python 7700 922
linkedlist-python 4500 597
linkedlist-python 7500 915
linkedlist-python 2500 315
linkedlist-python 3600 483
linkedlist-python 3100 409
linkedlist-python 3100 412
linkedlist-python 1700 185
linkedlist-python 1300 113
linkedlist-python 7200 882
linkedlist-python 1100 85
linkedlist-python 2700 335
linkedlist-python 1600 166
linkedlist-python 6000 746
linkedlist-python 2000 234
linkedlist-python 6900 845
linkedlist-python 4700 615
linkedlist-python 800 49
linkedlist-python 7400 898
linkedlist-python 600 22
linkedlist-python 2500 308
linkedlist-python 2600 316
linkedlist-python 5100 652
linkedlist-python 1100 86
linkedlist-python 2600 329
linkedlist-python 4100 550
linkedlist-python 7500 908
linkedlist-python 3500 458
linkedlist-python 3000 389
linkedlist-python 6200 762
linkedlist-python 4900 629
linkedlist-python 3500 470
linkedlist-python 1500 156
linkedlist-python 7400 867
linkedlist-python 1300 126
linkedlist-python 800 38
linkedlist-python 6700 831
linkedlist-python 2200 265
linkedlist-python 4900 631
linkedlist-python 4900 631
linkedlist-python 1700 172
linkedlist-python 800 41
linkedlist-python 3600 482
linkedlist-python 2600 327
linkedlist-python 4600 581
linkedlist-python 1500 158
linkedlist-python 2300 282
linkedlist-python 3100 399
linkedlist-python 2000 232
linkedlist-python 1000 84
linkedlist-python 4800 630
linkedlist-python 7800 927
linkedlist-python 6800 835
linkedlist-python 2000 239
linkedlist-python 6900 839
linkedlist-python 1800 200
linkedlist-python 4100 547
linkedlist-python 4400 574
linkedlist-python 1900 208
linkedlist-python 2500 315
linkedlist-python 7100 867
linkedlist-python 6700 823
linkedlist-python 7000 857
linkedlist-python 1000 14
linkedlist-python 5900 716
linkedlist-python 1100 95
linkedlist-python 6500 797
linkedlist-python 1300 121
