estrutura-linguagem tempo tamanho_da_entrada
linkedlist-java 500 655
linkedlist-java 600 907
linkedlist-java 0 39
linkedlist-java 200 264
linkedlist-java 500 909
linkedlist-java 100 131
linkedlist-java 500 857
linkedlist-java 600 969
linkedlist-java 300 451
linkedlist-java 300 544
linkedlist-java 100 194
linkedlist-java 400 685
linkedlist-java 400 610
linkedlist-java 400 528
linkedlist-java 100 195
linkedlist-java 200 297
linkedlist-java 200 411
linkedlist-java 0 79
linkedlist-java 200 271
linkedlist-java 300 440
linkedlist-java 500 913
linkedlist-java 0 50
linkedlist-java 400 723
linkedlist-java 100 115
linkedlist-java 400 650
linkedlist-java 200 364
linkedlist-java 400 707
linkedlist-java 300 473
linkedlist-java 200 316
linkedlist-java 500 907
linkedlist-java 300 471
linkedlist-java 200 366
linkedlist-java 300 563
linkedlist-java 200 206
linkedlist-java 0 63
linkedlist-java 200 338
linkedlist-java 200 401
linkedlist-java 100 256
linkedlist-java 500 937
linkedlist-java 100 172
linkedlist-java 400 758
linkedlist-java 400 665
linkedlist-java 100 202
linkedlist-java 500 924
linkedlist-java 0 15
linkedlist-java 0 29
linkedlist-java 400 693
linkedlist-java 100 143
linkedlist-java 500 851
linkedlist-java 200 392
linkedlist-java 200 254
linkedlist-java 500 796
linkedlist-java 0 3
linkedlist-java 400 754
linkedlist-java 500 901
linkedlist-java 0 22
linkedlist-java 600 989
linkedlist-java 300 444
linkedlist-java 300 456
linkedlist-java 400 744
linkedlist-java 500 813
linkedlist-java 200 382
linkedlist-java 200 390
linkedlist-java 300 571
linkedlist-java 200 414
linkedlist-java 500 833
linkedlist-java 300 442
linkedlist-java 500 876
linkedlist-java 300 450
linkedlist-java 300 422
linkedlist-java 200 302
linkedlist-java 300 572
linkedlist-java 300 427
linkedlist-java 600 994
linkedlist-java 500 853
linkedlist-java 400 698
linkedlist-java 100 143
linkedlist-java 200 286
linkedlist-java 500 802
linkedlist-java 100 177
linkedlist-java 200 325
linkedlist-java 400 681
linkedlist-java 400 770
linkedlist-java 500 868
linkedlist-java 600 986
linkedlist-java 100 205
linkedlist-java 500 763
linkedlist-java 600 969
linkedlist-java 100 218
linkedlist-java 500 945
linkedlist-java 400 710
linkedlist-java 400 679
linkedlist-java 0 35
linkedlist-java 300 527
linkedlist-java 500 914
linkedlist-java 400 617
linkedlist-java 300 436
linkedlist-java 300 572
linkedlist-java 500 870
linkedlist-java 500 858
linkedlist-java 1400 2241
linkedlist-java 4000 6998
linkedlist-java 4500 7942
linkedlist-java 5500 9815
linkedlist-java 4700 8270
linkedlist-java 3800 6777
linkedlist-java 4100 7213
linkedlist-java 2500 4391
linkedlist-java 2200 3777
linkedlist-java 3700 6445
linkedlist-java 800 1437
linkedlist-java 1200 2089
linkedlist-java 5100 9034
linkedlist-java 3300 5727
linkedlist-java 5300 9279
linkedlist-java 900 1536
linkedlist-java 1600 2774
linkedlist-java 4800 8384
linkedlist-java 5500 9659
linkedlist-java 1300 2346
linkedlist-java 1600 2815
