estrutura_linguagem tempo tamanho
linkedlist-java 37100 65465
linkedlist-java 43700 77525
linkedlist-java 40600 72063
linkedlist-java 42900 76121
linkedlist-java 51000 90432
linkedlist-java 16100 28559
linkedlist-java 40300 71413
linkedlist-java 33300 59177
linkedlist-java 33200 58879
linkedlist-java 20100 32956
linkedlist-java 55900 99216
linkedlist-java 49100 87144
linkedlist-java 38000 67440
linkedlist-java 48400 85921
linkedlist-java 21600 38325
linkedlist-java 21900 37434
linkedlist-java 48700 86359
linkedlist-java 12300 21820
linkedlist-java 33600 59534
linkedlist-java 6700 11862
linkedlist-java 30300 53863
linkedlist-java 11100 19627
linkedlist-java 11400 20304
linkedlist-java 49000 87069
linkedlist-java 52100 91995
linkedlist-java 50100 88973
linkedlist-java 39500 70146
linkedlist-java 50800 90078
linkedlist-java 22300 39560
linkedlist-java 20100 35574
linkedlist-java 41400 73431
linkedlist-java 51200 90928
linkedlist-java 38500 68307
linkedlist-java 31300 55426
linkedlist-java 13400 23758
linkedlist-java 45500 80613
linkedlist-java 28300 50182
linkedlist-java 43900 77762
linkedlist-java 53900 95768
linkedlist-java 13700 24370
linkedlist-java 42500 75333
linkedlist-java 53200 94443
linkedlist-java 28700 50942
linkedlist-java 25900 45933
linkedlist-java 48700 86422
linkedlist-java 34400 60928
linkedlist-java 47800 84846
linkedlist-java 43000 76241
linkedlist-java 12200 21664
linkedlist-java 56000 99439
linkedlist-java 53300 94529
linkedlist-java 14000 24869
linkedlist-java 25200 44671
linkedlist-java 21300 37773
linkedlist-java 5900 10449
linkedlist-java 7200 12808
linkedlist-java 8100 14435
linkedlist-java 49600 88177
linkedlist-java 416000 727791
linkedlist-java 278400 494488
linkedlist-java 298300 529508
linkedlist-java 59800 106007
linkedlist-java 142700 250829
linkedlist-java 59400 105348
linkedlist-java 469200 825811
linkedlist-java 410800 729912
linkedlist-java 108500 192624
linkedlist-java 345800 614031
linkedlist-java 405200 717777
linkedlist-java 510700 894757
linkedlist-java 106000 186447
linkedlist-java 237600 421717
linkedlist-java 144500 255469
linkedlist-java 264900 470719
linkedlist-java 433100 769532
linkedlist-java 490700 855053
linkedlist-java 468500 826011
linkedlist-java 323100 568605
linkedlist-java 202500 359668
linkedlist-java 73700 130833
linkedlist-java 434800 772596
linkedlist-java 215700 382131
linkedlist-java 469900 834656
linkedlist-java 62900 111581
linkedlist-java 374000 662816
linkedlist-java 524800 929594
linkedlist-java 428700 760871
linkedlist-java 534000 947797
linkedlist-java 344700 610611
linkedlist-java 465300 825612
linkedlist-java 540600 953927
linkedlist-java 307000 544294
linkedlist-java 254900 452625
linkedlist-java 405200 719291
linkedlist-java 378200 670464
linkedlist-java 520200 914295
linkedlist-java 370800 657422
linkedlist-java 156400 277944
linkedlist-java 72400 128419
linkedlist-java 348400 618778
linkedlist-java 455100 804757
linkedlist-java 464200 823135
linkedlist-java 137200 243626
linkedlist-java 212800 378093
linkedlist-java 82400 146241
linkedlist-java 476400 844492
linkedlist-java 85700 151998
linkedlist-java 323700 572359
linkedlist-java 124400 220841
linkedlist-java 255800 453933
linkedlist-java 402400 712673
linkedlist-java 250800 444427
linkedlist-java 89300 158575
linkedlist-java 312800 555213
linkedlist-java 157000 278643
linkedlist-java 503500 883552
linkedlist-java 215800 383044
linkedlist-java 548300 972529
linkedlist-java 446300 789787
linkedlist-java 278700 495086
linkedlist-java 351700 624421
linkedlist-java 526400 931622
linkedlist-java 528100 936056
linkedlist-java 562700 998164
linkedlist-java 355100 630949
linkedlist-java 238900 424170
linkedlist-java 227600 403473
linkedlist-java 451700 799447
linkedlist-java 459200 815083
linkedlist-java 414300 734197
linkedlist-java 282000 500652
linkedlist-java 406300 715559
linkedlist-java 509900 905008
linkedlist-java 330800 587224
linkedlist-java 67200 119194
linkedlist-java 295500 524915
linkedlist-java 224500 398717
linkedlist-java 384600 681456
linkedlist-java 308700 547196
linkedlist-java 413800 734940
linkedlist-java 107500 190690
linkedlist-java 206000 365848
linkedlist-java 542500 961773
linkedlist-java 491300 871858
linkedlist-java 519700 922225
linkedlist-java 104600 185692
linkedlist-java 219300 389594
linkedlist-java 314800 558794
linkedlist-java 312500 554018
linkedlist-java 521600 925448
linkedlist-java 368000 649586
linkedlist-java 360000 637844
linkedlist-java 383600 679773
linkedlist-java 391500 692726
linkedlist-java 250000 444095
linkedlist-java 271300 479299
linkedlist-java 342700 605128
linkedlist-java 84500 150055
linkedlist-cpp 0 655
linkedlist-cpp 0 907
linkedlist-cpp 0 39
linkedlist-cpp 0 264
linkedlist-cpp 0 909
linkedlist-cpp 0 131
linkedlist-cpp 0 857
linkedlist-cpp 0 969
linkedlist-cpp 0 451
linkedlist-cpp 0 544
linkedlist-cpp 0 194
linkedlist-cpp 0 685
linkedlist-cpp 0 610
linkedlist-cpp 0 528
