estrutura_linguagem tempo tamanho
linkedlist-java 25000 22112
linkedlist-java 20500 18174
linkedlist-java 73900 65465
linkedlist-java 87300 77525
linkedlist-java 81500 72063
linkedlist-java 85800 76121
linkedlist-java 102000 90432
linkedlist-java 32300 28559
linkedlist-java 80500 71413
linkedlist-java 66600 59177
linkedlist-java 66400 58879
linkedlist-java 38900 32956
linkedlist-java 111800 99216
linkedlist-java 98200 87144
linkedlist-java 76000 67440
linkedlist-java 96800 85921
linkedlist-java 43200 38325
linkedlist-java 43100 37434
linkedlist-java 97300 86359
linkedlist-java 24600 21820
linkedlist-java 67100 59534
linkedlist-java 13800 11862
linkedlist-java 60600 53863
linkedlist-java 22100 19627
linkedlist-java 22900 20304
linkedlist-java 98000 87069
linkedlist-java 103900 91995
linkedlist-java 100200 88973
linkedlist-java 79100 70146
linkedlist-java 101500 90078
linkedlist-java 44600 39560
linkedlist-java 40100 35574
linkedlist-java 84600 73431
linkedlist-java 102500 90928
linkedlist-java 77000 68307
linkedlist-java 62800 55426
linkedlist-java 26800 23758
linkedlist-java 90900 80613
linkedlist-java 56600 50182
linkedlist-java 87700 77762
linkedlist-java 107800 95768
linkedlist-java 27500 24370
linkedlist-java 84900 75333
linkedlist-java 106900 94443
linkedlist-java 57400 50942
linkedlist-java 51700 45933
linkedlist-java 97500 86422
linkedlist-java 68700 60928
linkedlist-java 95600 84846
linkedlist-java 85900 76241
linkedlist-java 24400 21664
linkedlist-java 112000 99439
linkedlist-java 106500 94529
linkedlist-java 28100 24869
linkedlist-java 50300 44671
linkedlist-java 42600 37773
linkedlist-java 11800 10449
linkedlist-java 14400 12808
linkedlist-java 16300 14435
linkedlist-java 99300 88177
linkedlist-java 836500 727791
linkedlist-java 559100 494488
linkedlist-java 596600 529508
linkedlist-java 119600 106007
linkedlist-java 284200 250829
linkedlist-java 118600 105348
linkedlist-java 938300 825811
linkedlist-java 825300 729912
linkedlist-java 216800 192624
linkedlist-java 692300 614031
linkedlist-java 814100 717777
linkedlist-java 1037100 894757
linkedlist-java 210800 186447
linkedlist-java 476200 421717
linkedlist-java 287500 255469
linkedlist-java 530300 470719
linkedlist-java 870000 769532
