estrutura-linguagem tempo tamanho_da_entrada
queue-java 0 128
queue-java 0 698
queue-java 0 392
queue-java 0 277
queue-java 0 491
queue-java 0 164
queue-java 0 961
queue-java 0 559
queue-java 0 480
queue-java 0 300
queue-java 0 650
queue-java 0 110
queue-java 0 431
queue-java 0 685
queue-java 0 753
queue-java 0 483
queue-java 0 489
queue-java 0 502
queue-java 0 163
queue-java 0 583
queue-java 0 217
queue-java 0 433
queue-java 0 874
queue-java 0 718
queue-java 0 522
queue-java 0 880
queue-java 0 126
queue-java 0 1000
queue-java 0 526
queue-java 0 770
queue-python 32 3676
queue-python 0 204
queue-python 32 327
queue-python 32 594
queue-java 0 41462
queue-java 0 56705
queue-java 0 81108
queue-java 0 20187
queue-java 0 18687
queue-java 0 20650
queue-java 0 80383
queue-java 0 62234
queue-java 0 32876
queue-java 0 56787
queue-java 0 40976
queue-java 0 85478
queue-java 0 37931
queue-java 0 32400
queue-java 0 41462
queue-java 0 56705
queue-java 0 81108
queue-java 0 20187
queue-java 0 18687
queue-java 0 20650
queue-java 0 80383
queue-java 0 62234
queue-java 0 32876
queue-java 0 56787
queue-java 0 40976
queue-java 0 85478
queue-java 0 37931
queue-java 0 32400
queue-java 0 65933
queue-java 0 18522
queue-java 0 90010
queue-java 0 47015
queue-java 0 58680
queue-java 0 13989
queue-java 0 11157
queue-java 0 56620
queue-java 0 40158
queue-java 0 26496
queue-java 0 96592
queue-java 0 33858
queue-java 0 78364
queue-java 0 41462
queue-java 0 204
queue-java 0 327
queue-java 0 594
queue-java 0 607
queue-java 0 760
queue-java 0 646
queue-java 0 204
queue-java 0 146
queue-java 0 318
queue-java 0 507
queue-java 0 243
queue-java 25677 204
queue-java 32657 327
queue-java 60244 594
queue-java 20306 607
queue-java 24501 760
queue-java 21379 646
queue-java 6799 204
queue-java 5010 146
queue-java 10750 318
queue-java 16164 507
queue-java 7912 243
queue-java 19926 627
queue-java 16763 511
queue-java 19489 610
queue-java 12508 387
queue-java 19141 604
queue-java 21259 646
queue-java 10643 331
queue-java 13348 413
queue-java 24510 750
queue-java 15253 477
queue-java 29878 917
queue-java 15249 483
queue-java 20150 613
queue-java 25684 788
queue-java 15534 492
queue-java 13462 646
queue-java 13503 663
queue-java 19640 972
queue-java 17910 854
queue-java 20030 932
queue-java 10020 478
queue-java 12881 621
queue-java 3942 176
queue-java 11717 562
queue-java 6800 291
queue-java 3174 128
queue-java 14190 698
queue-java 8166 392
queue-java 6438 277
queue-java 10157 491
queue-java 3737 164
queue-java 19914 961
queue-java 11531 559
queue-java 10039 480
queue-java 6959 300
queue-java 13398 650
queue-java 2597 110
queue-java 9214 431
queue-java 14053 685
queue-java 16452 753
queue-java 10081 483
queue-java 10150 489
queue-java 11106 502
queue-java 3805 163
queue-java 11939 583
queue-java 4971 217
queue-java 8974 433
queue-java 17665 874
queue-java 14654 718
queue-java 10812 522
queue-java 18026 880
queue-java 2958 126
queue-java 20634 1000
queue-java 10799 526
queue-java 16098 770
queue-java 18026 896
queue-java 10500 477
queue-java 15263 751
queue-java 8077 372
queue-java 10905 532
queue-java 3400 147
queue-java 7094 335
queue-java 13601 661
queue-java 12754 571
queue-java 10164 449
queue-java 19834 898
queue-java 7803 366
queue-java 9571 429
queue-java 9834 466
queue-java 7499 355
queue-java 11749 526
queue-java 15637 709
queue-java 12500 562
queue-java 13515 609
queue-java 13289 600
queue-java 21408 941
queue-java 4629 211
queue-java 5744 254
queue-java 8710 410
queue-java 10133 457
queue-java 18282 827
queue-java 13638 592
queue-java 4961 230
queue-java 10150 424
queue-java 15019 680
queue-java 11388 496
queue-java 19370 877
queue-java 18851 817
queue-java 3107 132
queue-java 420025 3676
queue-java 302226 6840
queue-java 57836 1316
queue-java 144511 3251
queue-java 175129 8564
queue-java 108591 5328
queue-java 90863 4495
queue-java 181452 8971
queue-java 165468 7727
queue-java 206693 9213
queue-java 125765 5592
queue-java 79557 3544
queue-java 126577 5639
queue-java 66721 2974
queue-java 207373 9199
queue-java 113009 4985
queue-java 103105 4570
queue-java 86760 3842
queue-java 112840 5298
queue-java 204026 9580
queue-java 63503 2973
queue-java 155409 7367
queue-java 119378 5744
