estrutura_linguagem memoria tamanho
queue-python 5720 663
queue-python 8192 972
queue-python 7248 854
queue-python 7872 932
queue-python 4208 478
queue-python 5384 621
queue-python 1616 176
queue-python 4912 562
queue-python 2712 291
queue-python 1232 128
queue-python 6000 698
queue-python 3520 392
queue-python 2600 277
queue-python 4312 491
queue-python 1520 164
queue-python 8104 961
queue-python 4888 559
queue-python 4224 480
queue-python 2784 300
queue-python 5616 650
queue-python 1088 110
queue-python 3832 431
queue-python 5896 685
queue-python 6440 753
queue-python 4248 483
queue-python 4296 489
queue-python 4400 502
queue-python 1512 163
queue-python 5080 583
queue-python 1944 217
queue-python 3848 433
queue-python 7408 874
queue-python 6160 718
queue-python 4592 522
queue-python 7456 880
queue-python 1216 126
queue-python 8416 1000
queue-python 4624 526
queue-python 6576 770
queue-python 7584 896
queue-python 4200 477
queue-python 6424 751
queue-python 3360 372
queue-python 4672 532
queue-python 1384 147
queue-python 3064 335
queue-python 5704 661
queue-python 4984 571
queue-python 3976 449
queue-python 7600 898
queue-python 3312 366
queue-python 3816 429
queue-python 4112 466
queue-python 3224 355
queue-python 4624 526
queue-python 6088 709
queue-python 4912 562
queue-python 5288 609
queue-python 5216 600
queue-python 7944 941
queue-python 1896 211
queue-python 2240 254
queue-python 3664 410
queue-python 4040 457
queue-python 7032 827
queue-python 5152 592
queue-python 2048 230
queue-python 3776 424
queue-python 5856 680
queue-python 4352 496
queue-python 7432 877
queue-python 6952 817
queue-python 1264 132
queue-python 1840 204
queue-python 3000 327
queue-python 5168 594
queue-python 5272 607
queue-python 6496 760
queue-python 5584 646
queue-python 1840 204
queue-python 1376 146
queue-python 2928 318
queue-python 4440 507
queue-python 2152 243
queue-python 5432 627
queue-python 4472 511
queue-python 5296 610
queue-python 3480 387
queue-python 5248 604
queue-python 5584 646
queue-python 3032 331
queue-python 3688 413
queue-python 6416 750
queue-python 4200 477
queue-python 7752 917
queue-python 4248 483
queue-python 5320 613
queue-python 6720 788
queue-python 4320 492
queue-python 5584 646
queue-python 5720 663
queue-python 8192 972
queue-python 7248 854
queue-python 7872 932
queue-python 4208 478
queue-python 5384 621
queue-python 1616 176
queue-python 4912 562
queue-python 2712 291
queue-python 1232 128
queue-python 6000 698
queue-python 3520 392
queue-python 2600 277
queue-python 4312 491
queue-python 1520 164
queue-python 8104 961
queue-python 4888 559
queue-python 4224 480
queue-python 2784 300
queue-python 5616 650
queue-python 1088 110
queue-python 3832 431
queue-python 5896 685
queue-python 6440 753
queue-python 4248 483
queue-python 4296 489
queue-python 4400 502
queue-python 1512 163
queue-python 5080 583
queue-python 1944 217
queue-python 3848 433
queue-python 7408 874
queue-python 6160 718
queue-python 4592 522
queue-python 7456 880
queue-python 1216 126
queue-python 8416 1000
queue-python 4624 526
queue-python 6576 770
queue-python 7584 896
queue-python 4200 477
queue-python 6424 751
queue-python 3360 372
queue-python 4672 532
queue-python 1384 147
queue-python 3064 335
queue-python 5704 661
queue-python 4984 571
queue-python 3976 449
queue-python 7600 898
queue-python 3312 366
queue-python 3816 429
queue-python 4112 466
queue-python 3224 355
queue-python 4624 526
queue-python 6088 709
queue-python 4912 562
queue-python 5288 609
queue-python 5216 600
queue-python 7944 941
queue-python 1896 211
queue-python 2240 254
queue-python 3664 410
queue-python 4040 457
queue-python 7032 827
queue-python 5152 592
queue-python 2048 230
queue-python 3776 424
queue-python 5856 680
queue-python 4352 496
queue-python 7432 877
queue-python 6952 817
queue-python 1264 132
queue-python 1840 204
queue-python 3000 327
queue-python 5168 594
queue-python 5272 607
queue-python 6496 760
queue-python 5584 646
queue-python 1840 204
queue-python 1376 146
queue-python 2928 318
queue-python 4440 507
queue-python 2152 243
queue-python 5432 627
queue-python 4472 511
queue-python 5296 610
queue-python 3480 387
queue-python 5248 604
queue-python 5584 646
queue-python 3032 331
queue-python 3688 413
queue-python 6416 750
queue-python 4200 477
queue-python 7752 917
queue-python 4248 483
queue-python 5320 613
queue-python 6720 788
queue-python 4320 492
queue-python 5584 646
queue-python 5720 663
queue-python 8192 972
queue-python 7248 854
queue-python 7872 932
queue-python 4208 478
queue-python 5384 621
queue-python 1616 176
queue-python 4912 562
queue-python 2712 291
queue-python 1232 128
queue-python 6000 698
queue-python 3520 392
queue-python 2600 277
queue-python 4312 491
queue-python 1520 164
queue-python 8104 961
queue-python 4888 559
queue-python 4224 480
queue-python 2784 300
queue-python 5616 650
queue-python 1088 110
queue-python 3832 431
queue-python 5896 685
queue-python 6440 753
queue-python 4248 483
queue-python 4296 489
queue-python 4400 502
queue-python 1512 163
queue-python 5080 583
queue-python 1944 217
queue-python 3848 433
queue-python 7408 874
queue-python 6160 718
queue-python 4592 522
queue-python 7456 880
queue-python 1216 126
queue-python 8416 1000
queue-python 4624 526
queue-python 6576 770
queue-python 7584 896
queue-python 4200 477
queue-python 6424 751
queue-python 3360 372
queue-python 4672 532
queue-python 1384 147
queue-python 3064 335
queue-python 5704 661
queue-python 4984 571
queue-python 3976 449
queue-python 7600 898
queue-python 3312 366
queue-python 3816 429
queue-python 4112 466
queue-python 3224 355
queue-python 4624 526
queue-python 6088 709
queue-python 4912 562
queue-python 5288 609
queue-python 5216 600
queue-python 7944 941
queue-python 1896 211
queue-python 2240 254
queue-python 3664 410
queue-python 4040 457
queue-python 7032 827
queue-python 5152 592
queue-python 2048 230
queue-python 3776 424
queue-python 5856 680
queue-python 4352 496
queue-python 7432 877
queue-python 6952 817
queue-python 1264 132
queue-python 29824 3676
queue-python 55136 6840
queue-python 10944 1316
queue-python 26424 3251
queue-python 68928 8564
queue-python 43040 5328
queue-python 36376 4495
queue-python 72184 8971
queue-python 62232 7727
queue-python 74120 9213
queue-python 45152 5592
queue-python 28768 3544
queue-python 45528 5639
queue-python 24208 2974
queue-python 74008 9199
queue-python 40296 4985
queue-python 36976 4570
queue-python 31152 3842
queue-python 42800 5298
queue-python 77056 9580
queue-python 24200 2973
queue-python 59352 7367
queue-python 46368 5744
queue-python 25480 3133
queue-python 14768 1794
queue-python 60248 7479
queue-python 61000 7573
queue-python 24936 3065
queue-python 58008 7199
queue-python 67464 8381
queue-python 10272 1232
queue-python 38200 4723
queue-python 59680 7408
queue-python 76760 9543
queue-python 13496 1635
queue-python 36128 4464
queue-python 40128 4964
queue-python 17696 2160
queue-python 47224 5851
queue-python 72752 9042
queue-python 71272 8857
queue-python 75008 9324
queue-python 68008 8449
queue-python 37632 4652
queue-python 63168 7844
queue-python 11136 1340
queue-python 61632 7652
queue-python 26512 3262
queue-python 44736 5540
queue-python 25200 3098
queue-python 17512 2137
queue-python 62184 7721
queue-python 80216 9975
queue-python 69736 8665
queue-python 79768 9919
queue-python 46904 5811
queue-python 45728 5664
queue-python 78144 9716
queue-python 40152 4967
queue-python 79712 9912
queue-python 14720 1788
queue-python 21592 2647
queue-python 19736 2415
queue-python 23168 2844
queue-python 30688 3784
queue-python 57232 7102
queue-python 22200 2723
queue-python 72456 9005
queue-python 41304 5111
queue-python 62976 7820
queue-python 44296 5485
queue-python 30112 3712
queue-python 29960 3693
queue-python 79696 9910
queue-python 11032 1327
queue-python 55680 6908
queue-python 56328 6989
queue-python 57080 7083
queue-python 24536 3015
queue-python 9512 1137
queue-python 64544 8016
queue-python 39368 4869
queue-python 32208 3974
queue-python 71112 8837
queue-python 76872 9557
queue-python 40976 5070
queue-python 46808 5799
queue-python 53648 6654
queue-python 22976 2820
queue-python 45560 5643
queue-python 56992 7072
queue-python 50504 6261
queue-python 46808 5799
queue-python 29688 3659
queue-python 37800 4673
queue-python 70456 8755
queue-python 21160 2593
queue-python 42472 5257
queue-python 50072 6207
queue-python 31672 3907
queue-cpp 0 204
queue-cpp 0 327
queue-cpp 0 594
queue-cpp 0 607
queue-cpp 0 760
queue-cpp 0 646
queue-cpp 0 204
queue-cpp 0 146
queue-cpp 0 318
queue-cpp 0 507
queue-cpp 0 243
queue-cpp 0 627
queue-cpp 0 511
queue-cpp 0 610
queue-cpp 0 387
queue-cpp 0 604
queue-cpp 0 646
queue-cpp 0 331
queue-cpp 0 413
queue-cpp 0 750
queue-cpp 0 477
queue-cpp 0 917
queue-cpp 0 483
queue-cpp 0 613
queue-cpp 0 788
queue-cpp 0 492
queue-cpp 0 646
queue-cpp 0 663
queue-cpp 0 972
queue-cpp 0 854
queue-cpp 0 932
queue-cpp 0 478
queue-cpp 0 621
queue-cpp 0 176
queue-cpp 0 562
queue-cpp 0 291
queue-cpp 0 128
queue-cpp 0 698
queue-cpp 0 392
queue-cpp 0 277
queue-cpp 0 491
queue-cpp 0 164
queue-cpp 0 961
queue-cpp 0 559
queue-cpp 0 480
queue-cpp 0 300
queue-cpp 0 650
queue-cpp 0 110
queue-cpp 0 431
queue-cpp 0 685
queue-cpp 0 753
queue-cpp 0 483
queue-cpp 0 489
queue-cpp 0 502
queue-cpp 0 163
queue-cpp 0 583
queue-cpp 0 217
queue-cpp 0 433
queue-cpp 0 874
queue-cpp 0 718
queue-cpp 0 522
queue-cpp 0 880
queue-cpp 0 126
queue-cpp 0 1000
queue-cpp 0 526
queue-cpp 0 770
queue-cpp 0 896
queue-cpp 0 477
queue-cpp 0 751
queue-cpp 0 372
queue-cpp 0 532
queue-cpp 0 147
queue-cpp 0 335
queue-cpp 0 661
queue-cpp 0 571
queue-cpp 0 449
queue-cpp 0 898
queue-cpp 0 366
