estrutura_linguagem memoria tamanho
queue-python 232 562
queue-python 232 609
queue-python 232 600
queue-python 232 941
queue-python 88 211
queue-python 88 254
queue-python 232 410
queue-python 232 457
queue-python 232 827
queue-python 232 592
queue-python 88 230
queue-python 232 424
queue-python 232 680
queue-python 232 496
queue-python 232 877
queue-python 232 817
queue-python 88 132
queue-python 232 3676
queue-python 232 6840
queue-python 232 1316
queue-python 232 3251
queue-python 232 8564
queue-python 232 5328
queue-python 232 4495
queue-python 232 8971
queue-python 232 7727
queue-python 232 9213
queue-python 232 5592
queue-python 232 3544
queue-python 232 5639
queue-python 232 2974
queue-python 232 9199
queue-python 232 4985
queue-python 232 4570
queue-python 232 3842
queue-python 232 5298
queue-python 232 9580
queue-python 232 2973
queue-python 232 7367
queue-python 232 5744
queue-python 232 3133
queue-python 232 1794
queue-python 232 7479
queue-python 232 7573
queue-python 232 3065
queue-python 232 7199
queue-python 232 8381
queue-python 232 1232
queue-python 232 4723
queue-python 232 7408
queue-python 232 9543
queue-python 232 1635
queue-python 232 4464
queue-python 232 4964
queue-python 232 2160
queue-python 232 5851
queue-python 232 9042
queue-python 232 8857
queue-python 232 9324
queue-python 232 8449
queue-python 232 4652
queue-python 232 7844
queue-python 232 1340
queue-python 232 7652
queue-python 232 3262
queue-python 232 5540
queue-python 232 3098
queue-python 232 2137
queue-python 232 7721
queue-python 232 9975
queue-python 232 8665
queue-python 232 9919
queue-python 232 5811
queue-python 232 5664
queue-python 232 9716
queue-python 232 4967
queue-python 232 9912
queue-python 232 1788
queue-python 232 2647
queue-python 232 2415
queue-python 232 2844
queue-python 232 3784
queue-python 232 7102
queue-python 232 2723
queue-python 232 9005
queue-python 232 5111
queue-python 232 7820
queue-python 232 5485
queue-python 232 3712
queue-python 232 3693
queue-python 232 9910
queue-python 232 1327
queue-python 232 6908
queue-python 232 6989
queue-python 232 7083
queue-python 232 3015
queue-python 232 1137
queue-python 232 8016
queue-python 232 4869
queue-python 232 3974
queue-python 232 8837
queue-python 232 9557
queue-python 232 5070
queue-python 232 5799
queue-python 232 6654
queue-python 232 2820
queue-python 232 5643
queue-python 232 7072
queue-python 232 6261
queue-python 232 5799
queue-python 232 3659
queue-python 232 4673
queue-python 232 8755
queue-python 232 2593
queue-python 232 5257
queue-python 232 6207
queue-python 232 3907
queue-cpp 0 204
queue-cpp 0 327
queue-cpp 0 594
queue-cpp 0 607
queue-cpp 0 760
queue-cpp 0 646
queue-cpp 0 204
queue-cpp 0 146
queue-cpp 0 318
queue-cpp 0 507
queue-cpp 0 243
queue-cpp 0 627
queue-cpp 0 511
queue-cpp 0 610
queue-cpp 0 387
queue-cpp 0 604
queue-cpp 0 646
queue-cpp 0 331
queue-cpp 0 413
queue-cpp 0 750
queue-cpp 0 477
queue-cpp 0 917
queue-cpp 0 483
queue-cpp 0 613
queue-cpp 0 788
queue-cpp 0 492
queue-cpp 0 646
queue-cpp 0 663
queue-cpp 0 972
queue-cpp 0 854
queue-cpp 0 932
queue-cpp 0 478
queue-cpp 0 621
queue-cpp 0 176
queue-cpp 0 562
queue-cpp 0 291
queue-cpp 0 128
queue-cpp 0 698
queue-cpp 0 392
queue-cpp 0 277
queue-cpp 0 491
queue-cpp 0 164
queue-cpp 0 961
queue-cpp 0 559
queue-cpp 0 480
queue-cpp 0 300
queue-cpp 0 650
queue-cpp 0 110
queue-cpp 0 431
queue-cpp 0 685
queue-cpp 0 753
queue-cpp 0 483
queue-cpp 0 489
queue-cpp 0 502
queue-cpp 0 163
queue-cpp 0 583
queue-cpp 0 217
queue-cpp 0 433
queue-cpp 0 874
queue-cpp 0 718
queue-cpp 0 522
queue-cpp 0 880
queue-cpp 0 126
queue-cpp 0 1000
queue-cpp 0 526
queue-cpp 0 770
queue-cpp 0 896
queue-cpp 0 477
queue-cpp 0 751
queue-cpp 0 372
queue-cpp 0 532
queue-cpp 0 147
queue-cpp 0 335
queue-cpp 0 661
queue-cpp 0 571
queue-cpp 0 449
queue-cpp 0 898
queue-cpp 0 366
queue-cpp 0 429
queue-cpp 0 466
queue-cpp 0 355
queue-cpp 0 526
queue-cpp 0 709
queue-cpp 0 562
queue-cpp 0 609
queue-cpp 0 600
queue-cpp 0 941
queue-cpp 0 211
queue-cpp 0 254
queue-cpp 0 410
queue-cpp 0 457
queue-cpp 0 827
queue-cpp 0 592
queue-cpp 0 230
queue-cpp 0 424
queue-cpp 0 680
queue-cpp 0 496
queue-cpp 0 877
queue-cpp 0 817
queue-cpp 0 132
queue-cpp 0 3676
queue-cpp 0 6840
queue-cpp 0 1316
queue-cpp 0 3251
queue-cpp 0 8564
queue-cpp 0 5328
queue-cpp 0 4495
queue-cpp 0 8971
queue-cpp 0 7727
queue-cpp 0 9213
queue-cpp 0 5592
queue-cpp 0 3544
